date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:27	11923/11923	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2004:47:33%20GMT	http://www.anjstech.com/ITConsulting.php	D:/anjs/www.anjstech.com/ITConsulting.html	(from http://www.anjstech.com/)
10:17:27	12428/12428	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2004:47:33%20GMT	http://www.anjstech.com/CorporateTrainings.php	D:/anjs/www.anjstech.com/CorporateTrainings.html	(from http://www.anjstech.com/)
10:17:28	12937/12937	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2004:47:34%20GMT	http://www.anjstech.com/Careers.php	D:/anjs/www.anjstech.com/Careers.html	(from http://www.anjstech.com/)
10:17:28	8168/8168	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2004:47:34%20GMT	http://www.anjstech.com/ContactUs.php	D:/anjs/www.anjstech.com/ContactUs.html	(from http://www.anjstech.com/)
10:17:42	83368/83368	---M--	200	added ('OK')	image/jpeg	etag:%22cc200dd-145a8-52e9e954ef37d%22	http://www.anjstech.com/images/banner/Banner02.jpg	D:/anjs/www.anjstech.com/images/banner/Banner02.jpg	(from http://www.anjstech.com/)
10:17:42	74731/74731	---M--	200	added ('OK')	image/jpeg	etag:%22cc200de-123eb-52e9e9600ee53%22	http://www.anjstech.com/images/banner/Banner03.jpg	D:/anjs/www.anjstech.com/images/banner/Banner03.jpg	(from http://www.anjstech.com/)
10:17:42	0/0	---M--	200	added ('OK')	text/html	etag:%22cc20096-0-52e9e83ab8968%22	http://www.anjstech.com/images/background.html	D:/anjs/www.anjstech.com/images/background.1f.delayed	(from http://www.anjstech.com/css/tab_styleH.css)
10:17:44	2806/2806	---M--	200	added ('OK')	image/png	etag:%22cc20082-af6-52e9e7b20c49e%22	http://www.anjstech.com/js/images/controls.png	D:/anjs/www.anjstech.com/js/images/controls.png	(from http://www.anjstech.com/js/jquery.bxslider.css)
10:17:44	8581/8581	---M--	200	added ('OK')	image/gif	etag:%22cc20081-2185-52e9e7bb0d3cd%22	http://www.anjstech.com/js/images/bx_loader.gif	D:/anjs/www.anjstech.com/js/images/bx_loader.gif	(from http://www.anjstech.com/js/jquery.bxslider.css)
10:17:44	95303/95303	---M--	200	added ('OK')	image/jpeg	etag:%22cc200df-17447-52e9e9616e375%22	http://www.anjstech.com/images/banner/Banner04.jpg	D:/anjs/www.anjstech.com/images/banner/Banner04.jpg	(from http://www.anjstech.com/)
10:17:44	890/890	---M--	200	added ('OK')	image/png	etag:%22cc200b1-37a-52e9e8ae56387%22	http://www.anjstech.com/images/gallery-img-bg-small.png	D:/anjs/www.anjstech.com/images/gallery-img-bg-small.png	(from http://www.anjstech.com/css/style.css)
10:17:45	1279/1279	---M--	200	added ('OK')	image/png	etag:%22cc200b3-4ff-52e9e8b0c2d4a%22	http://www.anjstech.com/images/gallery-img-bg.png	D:/anjs/www.anjstech.com/images/gallery-img-bg.png	(from http://www.anjstech.com/css/style.css)
10:17:45	1918/1918	---M--	200	added ('OK')	image/png	etag:%22cc200b0-77e-52e9e8b06b2ef%22	http://www.anjstech.com/images/gallery-img-bg-large.png	D:/anjs/www.anjstech.com/images/gallery-img-bg-large.png	(from http://www.anjstech.com/css/style.css)
10:17:46	510/510	---M--	200	added ('OK')	image/png	etag:%22cc200b2-1fe-52e9e8af8d039%22	http://www.anjstech.com/images/gallery-img-bg-thumb.png	D:/anjs/www.anjstech.com/images/gallery-img-bg-thumb.png	(from http://www.anjstech.com/css/style.css)
10:17:46	342/342	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Aug%202016%2004:47:52%20GMT	http://www.anjstech.com/images/orange-box-top.png	D:/anjs/www.anjstech.com/images/orange-box-top.png	(from http://www.anjstech.com/css/style.css)
10:17:47	2820/2820	---M--	200	added ('OK')	image/png	etag:%22cc200c2-b04-52ea0434dc254%22	http://www.anjstech.com/images/orange-box-bottom.png	D:/anjs/www.anjstech.com/images/orange-box-bottom.png	(from http://www.anjstech.com/css/style.css)
